Id,Id2,Geography,Total,Occupied,Vacant
1000000US210670002001002,210670002001002,"Block 1002, Block Group 1, Census Tract 2, Fayette County, Kentucky",111,109,2
1000000US210670002001003,210670002001003,"Block 1003, Block Group 1, Census Tract 2, Fayette County, Kentucky",8,5,3
1000000US210670002001004,210670002001004,"Block 1004, Block Group 1, Census Tract 2, Fayette County, Kentucky",1,1,0
1000000US210670002001005,210670002001005,"Block 1005, Block Group 1, Census Tract 2, Fayette County, Kentucky",38,37,1
1000000US210670002001006,210670002001006,"Block 1006, Block Group 1, Census Tract 2, Fayette County, Kentucky",68,63,5
1000000US210670002001007,210670002001007,"Block 1007, Block Group 1, Census Tract 2, Fayette County, Kentucky",5,5,0
1000000US210670002001008,210670002001008,"Block 1008, Block Group 1, Census Tract 2, Fayette County, Kentucky",23,22,1
1000000US210670002001009,210670002001009,"Block 1009, Block Group 1, Census Tract 2, Fayette County, Kentucky",18,16,2
1000000US210670002001010,210670002001010,"Block 1010, Block Group 1, Census Tract 2, Fayette County, Kentucky",84,74,10
1000000US210670002001011,210670002001011,"Block 1011, Block Group 1, Census Tract 2, Fayette County, Kentucky",32,30,2
1000000US210670002002000,210670002002000,"Block 2000, Block Group 2, Census Tract 2, Fayette County, Kentucky",0,0,0
1000000US210670002002001,210670002002001,"Block 2001, Block Group 2, Census Tract 2, Fayette County, Kentucky",23,19,4
1000000US210670002002002,210670002002002,"Block 2002, Block Group 2, Census Tract 2, Fayette County, Kentucky",29,26,3
1000000US210670002002003,210670002002003,"Block 2003, Block Group 2, Census Tract 2, Fayette County, Kentucky",38,36,2
1000000US210670002002004,210670002002004,"Block 2004, Block Group 2, Census Tract 2, Fayette County, Kentucky",22,18,4
1000000US210670002002005,210670002002005,"Block 2005, Block Group 2, Census Tract 2, Fayette County, Kentucky",19,16,3
1000000US210670002002006,210670002002006,"Block 2006, Block Group 2, Census Tract 2, Fayette County, Kentucky",20,19,1
1000000US210670002002007,210670002002007,"Block 2007, Block Group 2, Census Tract 2, Fayette County, Kentucky",34,33,1
1000000US210670002002008,210670002002008,"Block 2008, Block Group 2, Census Tract 2, Fayette County, Kentucky",2,2,0
1000000US210670002002009,210670002002009,"Block 2009, Block Group 2, Census Tract 2, Fayette County, Kentucky",10,9,1
1000000US210670002002010,210670002002010,"Block 2010, Block Group 2, Census Tract 2, Fayette County, Kentucky",36,27,9
